policy,candidatesupport,taxesfortreatment,emotionscale,sw,sb,ns,uw,ub,pooledwhite,pooledblack,pooledsymp,pooledunsymp,treat,RR,whiteid,racialstereotype,conservative,moderate,liberal,republican,independent,democrat,age,region,hsgrad,somecollege,collegegrad,postgrad,female,d25kto34k,d35kto49k,d50kto74k,d75kto99k,d100kto149k,d150kormore,pid7,ideo,perwhiteaddicts,perblackaddicts,overrepwhiteaddicts,overrepblackaddicts,sympathymike,opioidnews,state
1,0.5,0,0.4,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.75,0.5,0.333333333,0,0,1,1,0,0,60,West,0,1,0,0,0,0,0,0,0,1,0,0.833333333,2,0.5,0.25,0,1,0.5,Fairly closely,CA
0,0.25,0.4,0.475,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.375,0.75,0,0,0,1,1,0,0,29,Northeast,1,0,0,0,1,0,0,0,0,0,1,0.666666667,2,0.57,0.03,0,0,0.5,Not too closely,PA
0,0.5,0,0.625,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.75,0,0,1,0,0,1,0,0,32,Midwest,0,0,0,1,0,0,0,0,1,0,0,1,7,0.5,0.35,0,1,0.25,Not closely at all,MO
1,0.75,0.2,0.525,0,0,1,0,0,0,0,0,0,No Story,0.5,0.25,0,0,0,1,0,0,1,28,Midwest,0,1,0,0,1,1,0,0,0,0,0,0.333333333,2,0.4,0.4,0,1,NA,Fairly closely,OH
1,0.75,0,0.575,1,0,0,0,0,1,0,1,0,Sympathetic White,0.625,0.25,0,0,1,0,1,0,0,62,South,1,0,0,0,1,0,0,0,0,1,0,0.833333333,4,0.8,0.05,1,0,0.75,Fairly closely,MD
1,1,0.6,0.75,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.25,0.25,0,0,0,1,0,0,1,80,South,0,0,0,1,1,0,0,1,0,0,0,0,2,0.5,0.3,0,1,1,Fairly closely,TX
0,0.5,0.2,0.1,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0,0,NA,NA,NA,0,1,0,58,Midwest,0,0,1,0,1,0,0,0,0,0,0,0.5,NA,0.64,0.12,1,1,0,Fairly closely,MI
0,0,0,0.3,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.875,0,0,0,0,1,1,0,0,36,South,0,1,0,0,1,0,0,0,0,1,0,0.833333333,2,0.3,0.4,0,1,1,Not too closely,TX
NA,0.5,0,0.75,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0,0,1,0,0,1,0,0,36,West,0,0,1,0,0,0,0,1,0,0,0,0.666666667,6,0.8,0.15,1,1,0.25,Not closely at all,OR
1,1,1,0.875,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,0,0,0,0,1,0,1,0,25,South,0,1,0,0,0,0,0,0,0,0,1,0.5,2,0.4,0.3,0,1,1,Not too closely,GA
1,1,0.2,0.9,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0,-0.333333333,0,0,1,0,0,1,38,Midwest,0,1,0,0,1,0,0,0,1,0,0,0,1,0.9,0.05,1,0,1,Fairly closely,MO
1,0.5,0.2,0.5,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0.5,0,NA,NA,NA,0,1,0,35,South,0,0,1,0,0,0,0,1,0,0,0,0.5,NA,0.32,0.32,0,1,0.5,Not closely at all,FL
0,0.25,0.2,0.45,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0,0,0,1,0,1,0,0,24,West,0,1,0,0,1,1,0,0,0,0,0,1,4,0.6,0.1,0,0,0,Not closely at all,WY
1,0.75,0.2,0.575,0,0,1,0,0,0,0,0,0,No Story,0.5,0.5,0,0,1,0,0,1,0,71,South,0,0,1,0,1,0,0,0,0,0,0,0.5,4,0.45,0.45,0,1,NA,Fairly closely,TN
0,0.5,0,0.725,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.375,0.5,0.5,0,1,0,1,0,0,36,West,0,0,0,0,1,1,0,0,0,0,0,1,4,0.5,0.5,0,1,0.5,Not too closely,UT
1,1,0.8,0.9,0,1,0,0,0,0,1,1,0,Sympathetic Black,0,0.75,0,0,0,1,0,0,1,41,West,0,0,1,0,1,0,0,0,1,0,0,0.333333333,3,0.6,0.2,0,1,1,Fairly closely,UT
1,0.5,0,0.625,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.5,0,0,0,1,0,0,1,0,21,Midwest,0,0,1,0,0,0,0,0,0,0,0,0.5,4,0.64,0.12,1,1,0.5,Not too closely,MN
1,1,1,0.85,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,1,0,0,0,1,0,0,1,65,South,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6,0.3,0,1,0.75,Fairly closely,FL
1,0.5,0.2,0.725,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.25,0,NA,NA,NA,NA,NA,NA,18,Midwest,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0.4,0.3,0,1,0.25,Not closely at all,MO
1,0.75,0.2,0.55,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.875,0,0,0,1,0,0,0,1,57,Midwest,1,0,0,0,0,0,0,0,0,1,0,0.166666667,4,0.4,0.5,0,1,0.25,Fairly closely,KS
1,0.75,0.2,0.525,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.125,0.25,0.166666667,0,1,0,0,0,1,34,Midwest,0,0,0,0,1,0,0,0,1,0,0,0.333333333,4,0.6,0.25,0,1,0.5,Not too closely,WI
