policy,candidatesupport,taxesfortreatment,emotionscale,sw,sb,ns,uw,ub,pooledwhite,pooledblack,pooledsymp,pooledunsymp,treat,RR,whiteid,racialstereotype,conservative,moderate,liberal,republican,independent,democrat,age,region,hsgrad,somecollege,collegegrad,postgrad,female,d25kto34k,d35kto49k,d50kto74k,d75kto99k,d100kto149k,d150kormore,pid7,ideo,perwhiteaddicts,perblackaddicts,overrepwhiteaddicts,overrepblackaddicts,sympathymike,opioidnews,state
1,0.5,0.2,0.775,1,0,0,0,0,1,0,1,0,Sympathetic White,0.25,0.75,0,1,0,0,1,0,0,38,Midwest,0,0,1,0,1,0,0,1,0,0,0,0.666666667,5,0.8,0.1,1,0,0.75,Not too closely,KS
1,0.5,0.2,0.45,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.5,0,0,NA,NA,NA,0,1,0,33,Midwest,0,1,0,0,1,1,0,0,0,0,0,0.5,NA,0.5,0.5,0,1,0.5,Not too closely,IN
0,0,0,0.225,0,0,1,0,0,0,0,0,0,No Story,1,0.25,0,0,0,1,1,0,0,40,West,0,0,0,0,0,0,0,0,0,1,0,0.666666667,3,0.3,0.5,0,1,NA,Not closely at all,CO
1,0.5,0,0.825,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0.75,0.333333333,0,0,1,0,1,0,61,Northeast,1,0,0,0,0,0,0,0,0,1,0,0.5,3,0.3,0.35,0,1,0.5,Fairly closely,NJ
1,0.75,0.6,0.65,1,0,0,0,0,1,0,1,0,Sympathetic White,0.125,0,0.166666667,0,1,0,1,0,0,51,West,0,0,1,0,0,0,0,1,0,0,0,0.833333333,4,0.5,0.2,0,1,0.75,Not too closely,CA
1,1,0,0.875,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0,0,0,1,0,0,0,1,48,Midwest,0,1,0,0,0,0,0,0,0,1,0,0.333333333,4,0.5,0.5,0,1,0.25,Not too closely,MI
0,0,0,0.75,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0,0,1,0,0,1,0,0,53,South,0,0,0,0,0,0,1,0,0,0,0,1,5,0.3,0.1,0,0,0,Not closely at all,NC
0,0.5,0,0.675,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.75,0,0,0,1,0,1,0,0,37,Midwest,1,0,0,0,0,0,0,0,0,0,0,0.666666667,4,0.64,0.12,1,1,0.5,Not closely at all,OH
1,0.5,0.4,0.8,0,0,1,0,0,0,0,0,0,No Story,0.25,0,0.166666667,0,0,1,0,0,1,72,Northeast,0,0,0,0,1,0,0,0,1,0,0,0.166666667,2,0.6,0.2,0,1,NA,Fairly closely,MA
1,0.75,0.4,0.5,1,0,0,0,0,1,0,1,0,Sympathetic White,0.625,0,0,0,0,1,0,0,1,49,Northeast,0,1,0,0,1,0,1,0,0,0,0,0,2,0.65,0.2,1,1,0.75,Not closely at all,PA
1,0.5,0.2,0.275,0,0,1,0,0,0,0,0,0,No Story,0.5,0.25,0.666666667,0,1,0,1,0,0,29,South,0,1,0,0,1,0,0,0,0,0,0,0.833333333,4,0.5,0.48,0,1,NA,Not too closely,GA
0,0.5,0,0.9,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.625,0.5,0,0,0,1,1,0,0,55,South,0,0,0,1,1,0,0,0,0,1,0,1,3,0.5,0.4,0,1,0.5,Not too closely,MD
0,0.5,0.2,0.625,1,0,0,0,0,1,0,1,0,Sympathetic White,0.25,0.5,0,1,0,0,1,0,0,57,Northeast,0,0,1,0,1,0,0,0,1,0,0,0.833333333,6,0.5,0.2,0,1,0.5,Fairly closely,NY
1,0.75,0.2,0.8,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.25,0,-0.166666667,NA,NA,NA,0,0,1,22,South,0,0,1,0,0,0,0,1,0,0,0,0.166666667,NA,0.4,0.3,0,1,0.75,Not too closely,GA
1,1,0.6,0.8,0,0,1,0,0,0,0,0,0,No Story,0,0,0,0,0,1,0,0,1,43,South,1,0,0,0,0,0,0,0,0,1,0,0,1,0.65,0.2,1,1,NA,Very closely,FL
1,0.5,0,0.3,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0,0.333333333,0,0,1,1,0,0,28,Midwest,0,0,0,1,1,0,0,1,0,0,0,0.833333333,3,0.3,0.65,0,1,0.5,Not too closely,OH
0,0.75,0.2,0.475,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.25,0.5,0,0,1,0,0,0,1,65,Midwest,0,1,0,0,1,0,0,0,1,0,0,0.166666667,4,0.5,0.3,0,1,0.5,Not too closely,IA
0,0.5,0,0.45,1,0,0,0,0,1,0,1,0,Sympathetic White,0.75,1,0,0,1,0,0,0,1,62,Midwest,1,0,0,0,1,0,1,0,0,0,0,0.333333333,4,0.34,0.33,0,1,0.75,Fairly closely,IN
1,0.75,0.6,0.575,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0.25,0.333333333,0,1,0,1,0,0,39,South,0,0,1,0,1,0,0,1,0,0,0,0.833333333,4,0.4,0.5,0,1,0.5,Not too closely,KY
0,0.5,0.6,0.25,0,0,1,0,0,0,0,0,0,No Story,0.125,0.25,0.166666667,0,1,0,0,1,0,58,Midwest,0,0,1,0,0,0,0,0,0,0,1,0.5,4,0.75,0.15,1,1,NA,Fairly closely,IN
1,0.5,0.2,0.475,1,0,0,0,0,1,0,1,0,Sympathetic White,0.75,0,0.166666667,1,0,0,1,0,0,66,South,0,0,1,0,0,0,0,0,0,1,0,0.833333333,5,0.75,0.1,1,0,0.75,Not too closely,DE
1,0.75,0,0.55,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.875,0,0,0,1,0,0,0,1,37,South,0,1,0,0,0,0,0,1,0,0,0,0.333333333,4,0.25,0.5,0,1,0,Not closely at all,WV
1,1,1,1,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0.5,0,NA,NA,NA,1,0,0,52,South,1,0,0,0,1,0,0,1,0,0,0,0.666666667,NA,0.5,0.25,0,1,1,Very closely,TN
0,0.5,0,0.5,0,0,1,0,0,0,0,0,0,No Story,0.75,0,-0.333333333,1,0,0,0,1,0,71,West,0,1,0,0,1,0,0,0,0,0,0,0.5,5,0.35,0.35,0,1,NA,Not too closely,CA
1,0.75,0.4,0.825,1,0,0,0,0,1,0,1,0,Sympathetic White,0.125,0,0,NA,NA,NA,NA,NA,NA,39,West,0,1,0,0,0,0,0,0,0,0,1,NA,NA,0.9,0.03,1,0,0.75,Fairly closely,WA
0,0.25,0,0.375,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0.5,0.333333333,1,0,0,1,0,0,57,South,0,0,1,0,0,0,0,0,0,1,0,1,7,0.2,0.7,0,1,0.25,Not too closely,TX
1,0.5,0.2,0.575,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.875,0,0,0,0,1,1,0,0,34,Midwest,0,0,1,0,0,0,0,0,1,0,0,1,3,0.65,0.25,1,1,0.5,Not too closely,MO
1,0.75,0,0.65,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.625,0,0,0,0,1,0,0,1,42,Northeast,0,0,0,1,0,0,0,0,0,1,0,0.333333333,3,0.5,0.3,0,1,0.25,Fairly closely,CT
0,0.25,0,0.2,0,0,1,0,0,0,0,0,0,No Story,1,0.5,0.333333333,1,0,0,1,0,0,41,Northeast,1,0,0,0,1,0,1,0,0,0,0,1,7,0.5,0.25,0,1,NA,Not too closely,PA
1,1,0,0.85,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0,0,0,0,1,0,0,1,49,Midwest,0,1,0,0,0,0,0,0,0,0,1,0,1,0.85,0.05,1,0,0.5,Fairly closely,WI
1,0.75,0.6,0.9,0,0,1,0,0,0,0,0,0,No Story,0.625,0.5,0,0,1,0,0,0,1,86,West,0,0,0,0,0,0,0,0,0,0,1,0.166666667,4,0.4,0.2,0,1,NA,Not too closely,CA
1,0.75,0.4,0.825,0,0,0,0,1,0,1,0,1,Unsympathetic Black,1,0.75,0.5,1,0,0,1,0,0,72,Northeast,0,0,0,0,0,0,0,0,0,0,0,1,7,0.3,0.6,0,1,1,Fairly closely,ME
1,0.75,0.6,0.575,1,0,0,0,0,1,0,1,0,Sympathetic White,0.875,0.25,0.166666667,0,0,1,0,0,1,66,South,0,1,0,0,0,0,0,0,0,1,0,0.166666667,2,0.8,0.08,1,0,0.75,Fairly closely,FL
1,1,0.8,0.875,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.125,0,0,0,0,1,0,0,1,56,Midwest,0,0,0,1,0,0,0,0,0,1,0,0.333333333,2,0.46,0.24,0,1,0.75,Not too closely,MI
1,0.75,0.2,0.825,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.625,0.5,0,1,0,0,1,0,0,86,South,0,0,0,1,1,0,0,0,0,0,0,1,6,0.4,0.5,0,1,0.5,Not too closely,FL
0,0.75,0.6,0.725,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.375,0.5,0,0,0,1,0,0,1,31,Northeast,0,0,1,0,0,0,1,0,0,0,0,0.333333333,3,0.6,0.2,0,1,0.5,Not closely at all,NY
0,0.5,0.2,0.475,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.875,0.75,0,1,0,0,1,0,0,76,Midwest,0,1,0,0,0,0,0,1,0,0,0,0.666666667,5,0.3,0.5,0,1,0.25,Not closely at all,MI
1,0.75,0,0.325,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.25,0.5,0.166666667,0,1,0,1,0,0,57,Northeast,1,0,0,0,1,0,0,1,0,0,0,0.833333333,4,0.25,0.6,0,1,0.5,Fairly closely,NJ
1,0.75,0.2,0.3,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.125,0.5,0,0,0,1,0,0,1,30,Northeast,0,0,1,0,1,0,0,1,0,0,0,0.166666667,3,0.85,0.1,1,0,0.5,Not too closely,NJ
1,0.75,0.2,0.4,0,0,1,0,0,0,0,0,0,No Story,0.5,0,0,0,0,1,1,0,0,30,Midwest,0,1,0,0,1,0,0,0,0,0,0,0.666666667,3,0.7,0.2,1,1,NA,Not closely at all,KS
0,0.5,0.6,0.225,0,0,1,0,0,0,0,0,0,No Story,0.875,0.5,0.666666667,1,0,0,1,0,0,84,South,0,1,0,0,1,1,0,0,0,0,0,1,6,0.2,0.7,0,1,NA,Fairly closely,WV
0,0.25,0.2,0.675,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.75,0.25,0,0,0,1,1,0,0,59,West,0,1,0,0,1,0,1,0,0,0,0,0.666666667,2,0.3,0.4,0,1,0.5,Fairly closely,OR
0,0.5,0,0.6,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.25,0.5,0,0,1,0,0,0,1,74,South,1,0,0,0,1,1,0,0,0,0,0,0.333333333,4,0.6,0.3,0,1,0.25,Not too closely,TX
1,0.5,0,1,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.875,0,0,1,0,0,1,0,0,59,South,0,0,0,0,1,0,0,0,1,0,0,1,6,0.3,0.6,0,1,0.5,Not too closely,VA
1,0.75,1,1,0,0,1,0,0,0,0,0,0,No Story,0.5,0,0,NA,NA,NA,0,0,1,22,West,1,0,0,0,1,0,1,0,0,0,0,0.333333333,NA,0.5,0.5,0,1,NA,Fairly closely,MT
1,0.75,0,0.8,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.5,0.75,-0.333333333,1,0,0,0,0,1,48,South,0,0,1,0,1,0,0,1,0,0,0,0.166666667,5,0.2,0.5,0,1,0.5,Fairly closely,AL
1,0.75,0.2,0.875,0,0,1,0,0,0,0,0,0,No Story,0,0,0,0,0,1,0,0,1,32,South,0,0,1,0,1,0,0,1,0,0,0,0.333333333,2,0.7,0.2,1,1,NA,Not too closely,FL
1,0.5,0.2,0.35,1,0,0,0,0,1,0,1,0,Sympathetic White,1,0.75,0.5,0,1,0,1,0,0,54,Midwest,1,0,0,0,0,0,0,1,0,0,0,0.666666667,4,0.4,0.5,0,1,0.75,Not too closely,OH
1,0.5,0.6,0.7,0,0,1,0,0,0,0,0,0,No Story,0.5,0.75,0,0,0,1,0,0,1,72,West,0,0,0,1,1,0,0,0,0,1,0,0.333333333,3,0.75,0.2,1,1,NA,Fairly closely,AZ
1,0.5,0,0.675,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.5,0.166666667,0,0,1,1,0,0,38,Northeast,0,0,1,0,0,0,0,0,0,0,1,0.833333333,2,0.85,0.05,1,0,0.5,Not closely at all,NY
1,0.75,0,0.65,1,0,0,0,0,1,0,1,0,Sympathetic White,0.25,0,0,0,1,0,0,0,1,28,Northeast,0,0,1,0,0,0,0,0,1,0,0,0.333333333,4,0.75,0.15,1,1,0.75,Not too closely,ME
0,0.25,0,0.3,0,0,1,0,0,0,0,0,0,No Story,0.625,1,0,0,1,0,0,1,0,63,West,0,1,0,0,1,1,0,0,0,0,0,0.5,4,0.64,0.12,1,1,NA,Not too closely,CA
1,0.5,0,0.875,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0,0,0,1,0,1,0,0,67,West,0,0,1,0,1,1,0,0,0,0,0,0.666666667,4,0.33,0.33,0,1,0.75,Not closely at all,CA
1,0.5,0.4,0.875,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.125,0,0,0,0,1,0,0,1,32,West,0,0,1,0,0,0,0,0,1,0,0,0.333333333,3,0.5,0.3,0,1,0.75,Not too closely,WA
0,0.5,0,0.325,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0.25,0,1,0,0,1,0,0,63,South,0,0,1,0,0,0,0,1,0,0,0,1,7,0.6,0.15,0,1,0.5,Fairly closely,AL
1,0.5,0.4,0.5,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0.5,0,0,1,0,0,0,1,36,Midwest,0,0,1,0,1,0,0,0,0,1,0,0.333333333,4,0.5,0.25,0,1,0.5,Not too closely,KS
1,0.75,0.2,1,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0.25,0.166666667,NA,NA,NA,0,0,1,61,Midwest,1,0,0,0,0,1,0,0,0,0,0,0.333333333,NA,0.35,0.4,0,1,0.75,Fairly closely,OH
1,0.75,0.4,0.675,0,0,1,0,0,0,0,0,0,No Story,0,0.25,-0.333333333,0,0,1,0,0,1,31,South,0,0,0,1,1,0,1,0,0,0,0,0.333333333,3,0.7,0.14,1,1,NA,Not too closely,GA
1,1,0.6,0.825,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,0.25,0,NA,NA,NA,NA,NA,NA,36,Northeast,0,0,0,1,0,0,0,1,0,0,0,NA,NA,0.6,0.15,0,1,1,Not too closely,MA
0,0.5,0.2,0.325,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.875,0,0,0,1,0,1,0,0,71,West,0,0,1,0,1,0,0,0,0,0,0,0.666666667,4,0.4,0.45,0,1,0.5,Not too closely,CA
1,0.75,0.2,0.525,0,0,1,0,0,0,0,0,0,No Story,0.5,0.25,0,NA,NA,NA,0,0,1,26,Northeast,0,0,0,1,1,0,0,0,1,0,0,0.333333333,NA,0.4,0.45,0,1,NA,Not too closely,PA
1,1,1,0.775,1,0,0,0,0,1,0,1,0,Sympathetic White,0.25,0.5,0,0,1,0,1,0,0,42,South,0,0,1,0,1,0,0,1,0,0,0,0.666666667,4,0.7,0.15,1,1,0.75,Not too closely,KY
0,0.5,0,0.6,0,0,0,0,1,0,1,0,1,Unsympathetic Black,1,0.5,0,0,1,0,0,0,1,64,South,0,1,0,0,1,1,0,0,0,0,0,0.333333333,4,0.75,0.15,1,1,0.25,Fairly closely,AR
0,0.25,0.4,0.55,1,0,0,0,0,1,0,1,0,Sympathetic White,0.875,0.25,0.333333333,1,0,0,1,0,0,45,Midwest,0,0,1,0,0,0,0,1,0,0,0,0.833333333,6,0.87,0.12,1,1,0.5,Fairly closely,MI
0,0.5,0,0.35,0,0,1,0,0,0,0,0,0,No Story,0.75,0,0,0,0,1,1,0,0,43,Midwest,1,0,0,0,0,1,0,0,0,0,0,1,2,0.5,0.5,0,1,NA,Not closely at all,MO
0,0.25,0,0.75,1,0,0,0,0,1,0,1,0,Sympathetic White,1,0,0.333333333,NA,NA,NA,NA,NA,NA,19,Midwest,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0.4,0.4,0,1,0,Not closely at all,OH
1,0.75,0.2,0.8,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.125,0.25,-0.166666667,0,0,1,1,0,0,66,South,0,1,0,0,1,0,0,0,0,0,1,0.833333333,3,0.4,0.4,0,1,1,Fairly closely,KY
1,1,0.6,0.9,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0,0.166666667,NA,NA,NA,NA,NA,NA,60,West,0,0,1,0,0,0,0,0,0,0,1,NA,NA,0.7,0.2,1,1,0.25,Not too closely,WA
1,0.75,0.2,0.8,1,0,0,0,0,1,0,1,0,Sympathetic White,0.625,0,-0.166666667,0,1,0,0,1,0,44,Northeast,1,0,0,0,1,0,0,1,0,0,0,0.5,4,0.55,0.2,0,1,0.75,Very closely,RI
0,0.5,0.2,0.475,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.375,0.5,0,0,1,0,0,0,1,49,Northeast,0,0,1,0,1,0,0,0,1,0,0,0.166666667,4,0.7,0.2,1,1,0.25,Not closely at all,NJ
0,0.5,1,0.6,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.75,0,0,0,0,1,0,0,1,65,Midwest,0,1,0,0,0,0,0,0,0,0,0,0.166666667,3,0.34,0.34,0,1,0.5,Not too closely,IL
1,0.5,0,0.325,1,0,0,0,0,1,0,1,0,Sympathetic White,1,0.5,0.666666667,0,1,0,0,1,0,36,Midwest,1,0,0,0,0,0,0,0,0,0,0,0.5,4,0.6,0.2,0,1,0.5,Not too closely,IA
0,0.5,0.2,0.775,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.75,0.25,0,1,0,0,1,0,0,30,South,0,1,0,0,0,0,0,1,0,0,0,0.833333333,5,0.45,0.32,0,1,0.75,Not too closely,SC
1,0.75,0.2,0.6,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0.25,-0.333333333,0,0,1,0,0,1,34,South,1,0,0,0,1,0,0,0,0,0,0,0.166666667,2,0.6,0.2,0,1,0.5,Not too closely,GA
1,0.75,0.2,0.8,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.75,0.5,0.333333333,1,0,0,1,0,0,84,South,0,1,0,0,1,1,0,0,0,0,0,1,6,0.25,0.55,0,1,0.75,Not too closely,AL
1,1,0.2,0.85,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,0,-0.333333333,0,0,1,0,0,1,30,South,0,1,0,0,0,0,1,0,0,0,0,0.333333333,2,0.3,0.5,0,1,1,Not too closely,NC
1,0.75,0,0.85,1,0,0,0,0,1,0,1,0,Sympathetic White,0.875,0,0.5,0,0,1,1,0,0,64,West,1,0,0,0,1,0,0,0,0,0,0,1,3,0.6,0.2,0,1,0.25,Not too closely,CA
0,0.25,0,1,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.375,0,0,0,0,1,0,0,1,51,Midwest,0,0,1,0,1,0,1,0,0,0,0,0.166666667,2,0.6,0.2,0,1,1,Not too closely,MI
1,0.5,0.2,0.55,0,0,1,0,0,0,0,0,0,No Story,0.125,0.5,0,0,0,1,1,0,0,27,Midwest,1,0,0,0,1,0,1,0,0,0,0,0.666666667,2,0.12,0.69,0,1,NA,Not closely at all,OH
0,0,0,0.3,1,0,0,0,0,1,0,1,0,Sympathetic White,1,1,1,1,0,0,1,0,0,78,West,1,0,0,0,0,1,0,0,0,0,0,1,7,0.5,0.5,0,1,0.25,Not closely at all,AZ
0,0.25,0,0.65,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.875,0.5,0,NA,NA,NA,0,1,0,31,West,0,0,0,1,1,0,0,1,0,0,0,0.5,NA,0.5,0.5,0,1,0.25,Fairly closely,AZ
1,0.5,0.4,0.625,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.375,0,0,0,0,1,0,1,0,69,West,0,0,1,0,1,0,0,0,0,0,1,0.5,3,0.3,0.4,0,1,0.75,Not too closely,CA
1,1,0.2,0.9,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0,0,0,0,1,0,0,1,32,Midwest,0,0,1,0,1,0,1,0,0,0,0,0,2,0.65,0.2,1,1,0.75,Not too closely,IL
1,0.5,0.2,0.65,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.375,0,-0.333333333,0,1,0,0,0,1,57,Midwest,0,0,1,0,0,0,0,0,0,0,1,0.166666667,4,0.65,0.25,1,1,0.75,Fairly closely,WI
1,0.75,0.6,0.525,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0.5,0,0,0,1,0,0,1,63,Midwest,0,0,1,0,1,0,0,1,0,0,0,0.333333333,3,0.85,0.1,1,0,0,Not too closely,MI
1,0,0,0.5,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0,0,0,0,1,1,0,0,57,South,0,1,0,0,0,0,0,0,0,0,1,0.833333333,3,0.35,0.35,0,1,0.5,Not too closely,TX
1,0.5,0.8,0.65,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.375,0.25,0,0,0,1,0,0,1,39,South,0,0,0,1,1,0,0,0,0,1,0,0.166666667,3,0.65,0.1,1,0,0.25,Fairly closely,LA
1,0.5,0,0.4,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0,0,1,0,0,1,0,0,43,West,1,0,0,0,0,0,0,0,0,0,0,1,7,0.45,0.45,0,1,0.5,Fairly closely,ID
1,1,0,0.5,0,1,0,0,0,0,1,1,0,Sympathetic Black,0,0,-0.5,NA,NA,NA,0,0,1,36,Northeast,0,0,1,0,1,0,1,0,0,0,0,0,NA,0.5,0.02,0,0,1,Very closely,NY
1,0.5,0,0.55,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.25,0,0,1,0,0,0,1,23,Midwest,1,0,0,0,0,0,1,0,0,0,0,0.333333333,4,0.45,0.25,0,1,0.25,Fairly closely,NE
0,0.25,0,0.625,0,0,1,0,0,0,0,0,0,No Story,0.875,0.5,0.166666667,0,0,1,1,0,0,33,South,0,1,0,0,1,0,1,0,0,0,0,1,3,0.5,0.5,0,1,NA,Not too closely,VA
1,0.75,0.4,0.75,1,0,0,0,0,1,0,1,0,Sympathetic White,0.5,0.25,0,NA,NA,NA,NA,NA,NA,47,West,0,0,0,1,1,0,0,0,0,1,0,NA,NA,0.7,0.2,1,1,0.5,Fairly closely,AZ
1,1,0.4,0.825,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0.5,0,0,0,1,0,0,1,74,West,0,1,0,0,0,0,1,0,0,0,0,0,2,0.9,0.05,1,0,0.5,Not too closely,NV
1,1,0.4,0.625,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.5,0.5,0,1,0,0,1,0,0,77,South,0,1,0,0,1,1,0,0,0,0,0,1,6,0.5,0.3,0,1,0.5,Fairly closely,TX
1,0.75,0.6,0.7,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.75,0,0,1,0,0,1,0,0,38,West,0,0,1,0,1,0,0,1,0,0,0,0.833333333,5,0.45,0.3,0,1,1,Fairly closely,AZ
1,1,0.6,0.825,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0.25,-0.333333333,0,0,1,0,0,1,41,Midwest,0,0,0,1,0,0,0,0,0,1,0,0.333333333,2,0.64,0.12,1,1,0.75,Very closely,MN
1,1,0.6,0.75,0,0,1,0,0,0,0,0,0,No Story,0,0.75,0,0,0,1,0,0,1,69,West,0,0,0,1,0,0,0,0,1,0,0,0.333333333,2,0.55,0.05,0,0,NA,Not too closely,WA
0,0.25,0,0.2,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0,0.5,0,0,1,1,0,0,50,South,0,0,1,0,0,0,0,0,1,0,0,1,3,0.8,0.1,1,0,0,Fairly closely,FL
0,0,0,0.05,0,0,1,0,0,0,0,0,0,No Story,1,0,0.333333333,1,0,0,1,0,0,77,South,0,1,0,0,0,0,0,1,0,0,0,0.666666667,6,0.1,0.5,0,1,NA,Not too closely,FL
1,0.25,0,0.5,0,0,1,0,0,0,0,0,0,No Story,1,1,1,0,0,1,1,0,0,43,Midwest,0,0,1,0,0,1,0,0,0,0,0,1,3,0.01,0.8,0,1,NA,Fairly closely,OH
0,0.5,0,0.675,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0,0,0,0,1,1,0,0,56,South,0,0,0,1,0,0,0,0,1,0,0,0.833333333,3,0.7,0.1,1,0,0.5,Not too closely,WV
0,0.25,0,0.75,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.5,0.75,0,0,0,1,1,0,0,33,South,0,1,0,0,0,1,0,0,0,0,0,0.666666667,1,0.55,0.25,0,1,0,Not too closely,KY
1,0.75,1,0.65,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.125,0.5,0,0,0,1,0,0,1,69,Midwest,0,0,0,0,1,0,0,0,0,1,0,0,2,0.4,0.5,0,1,1,Fairly closely,MN
0,0.5,0,0.15,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.5,0.5,-0.166666667,0,0,1,0,0,1,36,Northeast,0,0,1,0,0,0,0,0,0,1,0,0.166666667,3,0.7,0.2,1,1,0,Fairly closely,PA
1,0.75,0.6,0.65,0,0,1,0,0,0,0,0,0,No Story,0.125,0,0,1,0,0,1,0,0,39,South,0,0,0,0,1,0,0,0,0,1,0,0.833333333,5,0.6,0.3,0,1,NA,Not too closely,TX
0,0.25,0,0.6,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0.75,0.5,NA,NA,NA,NA,NA,NA,19,Northeast,0,0,0,0,1,0,0,0,0,1,0,NA,NA,0.33,0.34,0,1,0.25,Not too closely,PA
0,0.75,0.2,0.375,0,0,1,0,0,0,0,0,0,No Story,0.625,0.5,0,0,1,0,1,0,0,33,Midwest,0,0,1,0,0,0,0,0,0,1,0,0.833333333,4,0.5,0.25,0,1,NA,Not too closely,NE
0,0.5,0,0.4,0,0,1,0,0,0,0,0,0,No Story,0.75,0.75,NA,0,1,0,0,1,0,71,South,0,1,0,0,1,0,0,0,0,0,0,0.5,4,0.4,0.4,0,1,NA,Fairly closely,SC
1,0,0,0.55,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.375,0,0,1,0,0,0,1,0,41,Midwest,1,0,0,0,0,0,0,0,1,0,0,0.5,6,0.5,0.5,0,1,0,Not too closely,WI
1,0.75,0.2,0.5,0,0,1,0,0,0,0,0,0,No Story,0.5,0.5,0,0,1,0,1,0,0,31,South,0,1,0,0,0,0,0,1,0,0,0,0.666666667,4,0.5,0.15,0,1,NA,Not too closely,TN
1,0.5,0.4,0.8,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0.5,0,0,1,0,0,0,1,64,West,1,0,0,0,0,0,0,0,1,0,0,0.166666667,4,0.65,0.25,1,1,0.25,Not too closely,MT
1,0.75,0.6,0.4,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.375,0.5,0,1,0,0,1,0,0,69,Midwest,0,1,0,0,1,0,0,1,0,0,0,0.833333333,6,0.35,0.45,0,1,0.75,Fairly closely,IL
0,0.5,0,0.75,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.5,0,NA,NA,NA,NA,NA,NA,56,Northeast,1,0,0,0,1,0,1,0,0,0,0,NA,NA,0.7,0.25,1,1,0,NA,MA
1,0.5,0.2,0.775,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.75,0,0,1,0,0,1,0,0,36,Midwest,0,1,0,0,0,0,0,0,1,0,0,0.833333333,6,0.35,0.45,0,1,0.75,Not too closely,OH
