treatment,anger,fear,sympathy,pity,disgust,compassion,articlesymp,articlerace,mikewhite,mikeblack,mikenorace,perwhiteopioid,perblackopioid,perotheropioid,perwhitedrug,perblackdrug,perotherdrug,whiteid,rr,workstereotypediff,whitesymp,blacksymp,noracesymp,whiteunsymp,blackunsymp,noraceunsymp,control
whiteunsymp,0,0.7,0,0.5,0,0,0.5,white,1,0,0,0.75,0.1,0.176470588,40,40,20,0,0.25,0.1,0,0,0,1,0,0,0
blacksymp,0,1,1,1,0.7,0,1,black,0,1,0,0.2,0.6,0.235294118,50,30,20,0,0.125,0,0,1,0,0,0,0,0
noracesymp,0.5,0.5,0.5,0.5,0.5,0.5,1,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.75,0.625,0,0,0,1,0,0,0,0
control,0,0.5,0.5,0.7,0.5,0.3,NA,NA,0,0,0,0.8,0.1,0.117647059,65,25,10,0.5,0.75,0.666666667,0,0,0,0,0,0,1
noraceunsymp,0.7,0.8,0.6,0.6,0.7,0.6,0.75,white,1,0,0,0.5,0.4,0.117647059,50,40,10,0.5,0.5,0.133333333,0,0,0,0,0,1,0
control,0.8,0.3,0.3,0.2,0.8,0.9,NA,NA,0,0,0,0.8,0.1,0.117647059,80,10,10,0,0.625,0.1,0,0,0,0,0,0,1
whitesymp,0.5,0.6,0.6,0.6,0.5,0.4,0.75,white,1,0,0,0.3,0.4,0.352941176,30,50,20,1,0.125,0.166666667,1,0,0,0,0,0,0
noraceunsymp,0.7,0.6,0.6,0.7,0.6,0.9,0.75,white,1,0,0,0.1,0.75,0.176470588,15,75,10,0.5,0.5,NA,0,0,0,0,0,1,0
noracesymp,0.6,0.6,0.6,0.6,0.6,0.5,0.75,black,0,1,0,0.5,0.5,0,33,33,34,0,0.5,0.1,0,0,1,0,0,0,0
blacksymp,0.6,0.9,0.7,0.6,0.7,0.7,0.75,black,0,1,0,0.12,0.24,0.752941176,53,7,40,0.75,0.4375,0.166666667,0,1,0,0,0,0,0
control,0.3,0.7,0.8,0.8,0.6,0.3,NA,NA,0,0,0,0.7,0.25,0.058823529,65,20,15,0,0.625,0.033333333,0,0,0,0,0,0,1
noraceunsymp,0.9,0.8,0.8,0.8,0.8,0.8,0.5,not mentioned,0,0,1,0.15,0.4,0.529411765,45,35,20,0.5,0.875,0.466666667,0,0,0,0,0,1,0
noracesymp,0.6,0.6,0.4,0.4,0.4,0.7,0.5,white,1,0,0,0.25,0.75,0,50,25,25,0.5,0.625,0.3,0,0,1,0,0,0,0
whiteunsymp,0.8,0.7,0.4,0.7,0.6,0.6,0.75,white,1,0,0,0.6,0.35,0.058823529,55,20,25,0.125,0.3125,0.033333333,0,0,0,1,0,0,0
whitesymp,0.2,0.2,1,0.4,0,0.5,0.25,white,1,0,0,0.7,0.2,0.117647059,60,20,20,0.625,0.0625,0.033333333,1,0,0,0,0,0,0
blackunsymp,0.8,0.3,0.4,0.7,0.9,0.9,0.75,black,0,1,0,0.33,0.33,0.4,33,33,34,0.875,0.5625,0.1,0,0,0,0,1,0,0
blacksymp,0.5,0.8,0.9,0.6,0.8,0.3,1,black,0,1,0,0.5,0.25,0.294117647,50,25,25,0.125,0,-0.066666667,0,1,0,0,0,0,0
whiteunsymp,0.8,0.1,0.1,0.1,0.4,0.2,0.5,white,1,0,0,0.64,0.24,0.141176471,64,12,24,0.375,0.5625,0.066666667,0,0,0,1,0,0,0
whiteunsymp,0.4,0.5,0.5,0.4,0.6,0.4,0.5,white,1,0,0,0.45,0.3,0.294117647,40,40,20,0.375,0.6875,0.466666667,0,0,0,1,0,0,0
noraceunsymp,0.3,0.8,0.8,0.8,0.3,0.3,0.25,not mentioned,0,0,1,0.75,0.1,0.176470588,75,10,15,0.125,0,0.033333333,0,0,0,0,0,1,0
control,0.5,0.8,0.7,0.6,0.5,0.5,NA,NA,0,0,0,1,0,0,30,30,40,0.625,0.625,0.166666667,0,0,0,0,0,0,1
noracesymp,0.1,0.2,0.2,0.2,0,0,0.5,white,1,0,0,0.5,0.5,0,20,10,70,1,0.625,NA,0,0,1,0,0,0,0
whitesymp,0.6,0.8,0.6,0.6,0.5,0.4,0.75,white,1,0,0,0.9,0,0.117647059,50,40,10,0.375,0.5,0.033333333,1,0,0,0,0,0,0
blacksymp,0.6,0.4,0.7,0.6,0.6,0.4,0.75,white,1,0,0,0.6,0.2,0.235294118,60,20,20,0.5,0.4375,NA,0,1,0,0,0,0,0
blackunsymp,0.4,0.4,0.7,0.2,0.7,0.2,0.75,black,0,1,0,0.4,0.5,0.117647059,50,40,10,0.5,0.6875,0.066666667,0,0,0,0,1,0,0
blacksymp,0.6,0.5,0.5,0.5,0.7,0.5,0.5,black,0,1,0,0.5,0.12,0.447058824,50,12,38,0.5,0.4375,0.1,0,1,0,0,0,0,0
noracesymp,0.2,0.9,0.7,0.8,0.4,0.1,0.5,white,1,0,0,0.35,0.35,0.352941176,50,25,25,0.375,0.5,0.033333333,0,0,1,0,0,0,0
control,0,0.8,0.8,0.8,0.3,0,NA,NA,0,0,0,0.75,0.15,0.117647059,75,15,10,0.375,0.5,0.133333333,0,0,0,0,0,0,1
noraceunsymp,1,1,1,1,1,1,0,white,1,0,0,1,0,0,100,0,0,1,0.5,NA,0,0,0,0,0,1,0
whitesymp,0.8,0.6,0.5,0.4,0.7,0.9,1,white,1,0,0,0.75,0.07,0.211764706,70,20,10,0.875,0.875,0.1,1,0,0,0,0,0,0
whiteunsymp,0.2,0.9,0.8,0.6,0.4,0.2,0.75,white,1,0,0,0.8,0.15,0.058823529,80,15,5,0.125,0.375,-0.3,0,0,0,1,0,0,0
blackunsymp,0.8,0.2,0.3,0.3,0.9,0.9,0.25,black,0,1,0,0.7,0.12,0.211764706,65,12,23,0.25,1,0.1,0,0,0,0,1,0,0
whitesymp,0.6,0.8,0.5,0.9,0.8,0.4,1,not mentioned,0,0,1,0.55,0.3,0.176470588,40,40,20,0.375,0.125,0.3,1,0,0,0,0,0,0
blacksymp,0.5,0.4,0.5,0.5,0.4,0.5,0.5,black,0,1,0,0.64,0.12,0.282352941,64,12,24,0.5,0.5,0.1,0,1,0,0,0,0,0
whiteunsymp,0.7,0.8,0.8,0.5,0.8,0.8,0.75,white,1,0,0,0.75,0.1,0.176470588,45,30,25,0.75,0.625,-0.066666667,0,0,0,1,0,0,0
control,0.7,0.7,0.7,0.6,0.6,0.7,NA,NA,0,0,0,0.6,0.2,0.235294118,65,15,20,0.75,0.5,-0.066666667,0,0,0,0,0,0,1
blackunsymp,0.9,0.9,0.9,0.8,0.9,0.9,0.5,black,0,1,0,0.3,0.4,0.352941176,30,40,30,0.5,0.75,0.1,0,0,0,0,1,0,0
control,0.9,0,0,0.1,1,1,NA,NA,0,0,0,0.7,0.1,0.235294118,50,10,40,0.875,1,0.133333333,0,0,0,0,0,0,1
noracesymp,0.4,1,1,1,0.4,0.4,0.75,not mentioned,0,0,1,0.8,0.15,0.058823529,55,30,15,0.125,0,0.033333333,0,0,1,0,0,0,0
whiteunsymp,0.7,0.3,0.4,0.4,0.8,0.8,0.75,white,1,0,0,0.4,0.2,0.470588235,40,20,40,1,0.5,0.3,0,0,0,1,0,0,0
